Date,Text,Favourites,Retweet,User,Sentiment,Sentiment Class
02/Nov/2019,will never stand and support this crook Always remember his insult devotee May Bhagw,0.0,0.0,iVimalNair,-1,Negative
02/Nov/2019,neo judiciary and neo ruler let down SADHU and SAADHAK will will pro,0.0,0.0,Patriotofbharat,0,Neutral
02/Nov/2019,Why there news about Karma Samithi young woman planning defile holy temple again,0.0,0.0,ShashiGangadhar,0,Neutral
02/Oct/2019,Please understand that there gender discrim,0.0,0.0,ur_vishnu,1,Positive
02/Oct/2019,Why people comment issue which they have idea about This country full diversity try understand,0.0,0.0,Dileeplive,0,Neutral
02/Oct/2019,Save Tradition question the devaswam board President Watch the link,0.0,0.0,leenamannarkad,1,Positive
02/Oct/2019,RamMandir hinducharter savesabarimalatradition,1.0,0.0,sadanjan,0,Neutral
02/Oct/2019,when anti Hindu using Kerala Govt TDB and Higher Judiciary only way for Hindus make central Govt,0.0,0.0,sadanjan,-1,Negative
02/Oct/2019,Pray Mother grant sakthi fight for Dharma savesabarimalatradition,5.0,1.0,sadanjan,1,Positive
02/Oct/2019,Dharma survived only Sacrifice,2.0,1.0,sadanjan,1,Positive
02/Oct/2019,Pick the Day TDB Padmakumar sabarimalareview sabarimalacase,0.0,0.0,pennewstweet,0,Neutral
02/Sep/2019,Pick the Day TDB Padmakumar sabarimalareview sabarimalacase,0.0,0.0,pennewstweet,0,Neutral
02/Sep/2019,ha abdi,1.0,1.0,SaveSabrimala,0,Neutral
02/Sep/2019,Pray show action,1.0,1.0,sadanjan,1,Positive
02/Sep/2019,never the post Independent India and even under British India Police gaining entry inside holy place this,1.0,0.0,IndusSpirit,1,Positive
02/Sep/2019,Kerala police impose restriction ahead temple opening,0.0,0.0,IndusSpirit,-1,Negative
02/Sep/2019,Pick the Day TDB Padmakumar sabarimalareview sabarimalacase sabarimalatemple,0.0,0.0,pennewstweet,0,Neutral
02/Sep/2019,Ramalingam savesabarimalatradition sir please view,0.0,0.0,ajaycha70678361,1,Positive
02/Aug/2019,Just saw This tweet failed amp saved Tweeting again Glimpse the huge chain volunteer protesting for,2.0,2.0,MohnishGDelhi,-1,Negative
02/Aug/2019,Let the knowledge come from anyone sameway let,3.0,1.0,Patriotofbharat,0,Neutral
02/Aug/2019,these fellow voted commis and congis kerala and lamenting modi for ordnance before,9.0,3.0,sk_6352,-1,Negative
02/Aug/2019,any little shame remain the called Hindu saviour call for leg,0.0,0.0,palakkad_biju,-1,Negative
02/Aug/2019,Save Tradition There would huge protest when open for Kumbha Masa Pooja Situation,27.0,22.0,surnell,1,Positive
02/Aug/2019,Dear Ali Quli Mirza also don forget check VAVAR MOSQUE Facebook show support for entry woman,2.0,2.0,anusha_r1,1,Positive
02/Aug/2019,Rehana Fathima who tried enter temple serf one day jail and pay fine lakh cheque,1.0,0.0,yogeshwarkastur,1,Positive
02/Aug/2019,Varma alleges TDB not with devotee SasikumarVarma TDB Travancoredevaswomboard,0.0,0.0,pennewstweet,-1,Negative
02/Aug/2019,Review Save Tradition Can constitutional morality odds with legality libe,0.0,0.0,bulletmanV,1,Positive
02/Aug/2019,great lesson for the anarchist and vandal hiding under the garb Constitutional morality,1.0,0.0,bulletmanV,1,Positive
02/Aug/2019,Kanakadurga return home but husband and family shift rented house Kanakadurga,0.0,0.0,pennewstweet,0,Neutral
02/Jul/2019,While Kerala Hindus were busy boasting harmony other religion were perfecting their plo,1.0,0.0,exception41,1,Positive
02/Jul/2019,Not prepared get into argument coz Iam also Faithful Hindu woman devo,1.0,0.0,drmcshekhar,-1,Negative
02/Jul/2019,Devaswom turn draw flak protest tomorrow TDB,0.0,0.0,pennewstweet,-1,Negative
02/Jul/2019,Varma alleges TDB not with devotee SasikumarVarma TDB Travancoredevaswomboard,0.0,0.0,pennewstweet,-1,Negative
02/Jul/2019,her core issue Save Tradition tradition She ha every right,0.0,0.0,Patriotofbharat,1,Positive
02/Jul/2019,Please read last few RTs Our temple are not playground for SJWism Hinduism lenient certain aspect,9.0,6.0,YehAccntFakeHai,1,Positive
02/Jul/2019,Why should woman fight for Save Tradition thing never about Equality and they,0.0,0.0,Rwind_13,1,Positive
02/Jul/2019,Kanakadurga return home but husband and family shift rented house Kanakadurga,0.0,0.0,pennewstweet,0,Neutral
02/Jul/2019,Devaswom turn draw flak protest tomorrow TDB,0.0,0.0,pennewstweet,-1,Negative
02/Jul/2019,nPlease follow this link follow court proceeding,1.0,0.0,Hindu108,0,Neutral
02/Jul/2019,These feminazi bitch have threatened enter temple again feb Save,0.0,1.0,Hindu108,-1,Negative
